Tweet,Topic
Subdivision 3 of the Artistic Gymnastics Men's Qualification tournaments starts now. Carlos Yulo 🇵🇭 will compete in… https://t.co/7A57byVoVa,19
"What a super feat! Congratulations #MirabaiChanu . Salute to your commitment, journey and this moment of glory 👏🏼💫… https://t.co/DgdsT7ZjH1",0
let's go guys #Tokyo2020 #Handball,54
Which idiot at @SonyLIV thought that swimming is not a category worth to be shown live? What kind of coverage is th… https://t.co/DtkI3WRIZ0,48
Harmanpreet Singh's Brace Helps Indian Men's Hockey Team Edge Past New Zealand In Olympics Opener.… https://t.co/oTplDAk1tA,1
"Hello PH Govt, media #Olympics #Tokyo2020 https://t.co/CySeJKIbpI",-1
@ThumsUpOfficial @realmanubhaker India is ready to rock in #Tokyo2020,-1
"#Tokyo2020 
#TokyoOlympics2021 
@PMOIndia 
@ianuragthakur 
Many many Congratulations... https://t.co/MUt7Ev4Yse",-1
"Saurabh Chaudhary (@SChaudhary2002 ) made India’s first final of the #Tokyo2020 Olympics Shooting competition, fini… https://t.co/rQ4zHPS6MQ",29
Concentration + satisfaction - Ibrahim Colak 🇹🇷 #Tokyo2020 #ArtisticGymnastics https://t.co/J6itbzNgmI,-1
Huge congratulations to #MirabaiChanu on winning the silver for weightlifting at the #Tokyo2020 Olympics. The actio… https://t.co/aqVqWO7Mqm,0
"Congratulations Proud feel India❤️🇮🇳💪@mirabai_chanu 
#ind #Tokyo2020 #Cheer4India #SupportSmallStreamers… https://t.co/SPJWqNXRdP",0
➡️Could not have asked for a happier start to Tokyo 2020! India is elated by Mirabai Chanu’s stupendous performance… https://t.co/xLLRIKbP2q,33
"Thanks, topics
#Tokyo2020 https://t.co/I9PZYauCNP",6
"Expected much Better performance from #VikasKrishan 
Hard Luck this time.
He lost to #Japanese 🇯🇵 #Boxer by unanimo… https://t.co/eCb1CPJn9k",4
"Hey @BBCiPlayer, where's the judo and taekwondo from #Tokyo2020?",34
"India's star weightlifter Mirabai Chanu won India's first medal at the Tokyo Olympics, winning a silver medal in 49… https://t.co/NUctsaHCvS",0
"Lowkey, people dun dey pack medals for #Tokyo2020 and then there is Nigeria. 

Or am I tweeting too early?!",46
Not watching it acwastevof money whilst peoole arecstarving abd dying.#Tokyo2020,-1
"Fun favourite and #Judo superstar for obvious reasons earns a #Bronze medal. @DariaBilodid 
#Tokyo2020 https://t.co/zcdxoT6odb",-1
"#Tokyo2020 #TableTennis 

Hend Zaza is the youngest Olympian in 43 years.

https://t.co/QUqcIRAALc",-1
"Marin cilic 

What have u done mate 

3rd set 5-0 to 5-5 
Biggest choke in tennis history
#Tennis #Tokyo2020",17
"#Tokyo2020, Football fixtures #WatchThemRise

Reconnect &amp; Stay connected to DStv 
https://t.co/tuFdgFjJTk https://t.co/0a7U1p9Qo7",10
"Good 1st day for India, Opening the medal account in Tokyo 2020 ,Starting form hockey India beat NZ by 3-2,In TT Ba… https://t.co/PkG42QATpT",1
"We were going to make a joke about fencing, but decided not to. It would’ve been a repost 😂

#Olympics2021… https://t.co/XvB72BfyD1",59
"The Moment You Might Have Missed!!

If you watched the opening ceremony you must have seen this, 🔴 More than a thou… https://t.co/FLvPsMQDZZ",14
"Congratulations to @mirabai_chanu on winning the first medal🏅 for India in #Tokyo2020 

The entire nation is proud of you 👏👏🇮🇳
#Cheer4India",0
The torchbearer uniforms worn for the #Tokyo2020 Olympics torch relay are made from recycled plastic bottles collec… https://t.co/YNaqsu7xD0,1
"Tin Tin Ho is such a great player 

Manika Batra has made us proud !

#Tokyo2020 https://t.co/d3XTlIsgKQ",3
"Syrian table tennis player Hend Zaza, 12, becomes youngest Olympian in 53 years... and hopes to inspire children to… https://t.co/5prUV0uy8S",-1
Team India will rock #Tokyo2020,0
"“I’m gonna tell people I was in a bar fight."" #Olympics #Tokyo2020 https://t.co/6JUdo4jDsC",4
"#Tokyo2020 

Sarina Weigman v Pia Sundhage as Netherlands take on Brazil in the next round of Group stages!

🇳🇱 V… https://t.co/ZtTzOYTFoj",1
"It'll be an early rise tomorrow when the action begins 🙌

Here's a heads up on when @tkdbradly &amp; @jadejonestkd will… https://t.co/IJHNXxqWR5",6
"Day 1 of @Tokyo2020 Olympics today, &amp; also #OneMonthToGo for the @Paralympics. Yet another celebration of sports be… https://t.co/ET3r1ALSl9",32
"As the Olympics get underway, we want to know! 😊

Which footballer would win a gold medal for diving? 🤣 🥇 #Tokyo2020 https://t.co/aaekU7DlIr",-1
"Hailing from war-torn #SYR, Hend Zaza is the youngest competitor at the @Olympics at just 12!

While she lost in th… https://t.co/K6kVmZbeTJ",-1
"Rowing has been staged at every Games since making its debut in Paris 1900. 🚣‍♀️ To find rowing clubs, learn to row… https://t.co/ceJtV4X8bZ",-1
"[LIVE] #BeachVolleyball — Session 3 (20:00 ~ 22:50) | #Tokyo2020 

20:00 — 
Women's Prelims: #CAN vs #CHN",-1
Andy Murray and Joe Salisbury made a brilliant start to their doubles campaign with victory over second seeds Pierr… https://t.co/PMgYvaT0Lv,52
Celebrate the Tokyo 🍩lympics in style this summer with Dunkin' Donuts. What flavour are you cheering on?… https://t.co/iQKHn2iWdi,-1
"Timmy is a lightweight

Damo is a paperweight

Marvin is a technical knockout

yOUtUBE https://t.co/QFUXTtTFt5

sPO… https://t.co/SDqifxalk0",4
"🇨🇦🇳🇱 Ross Bekkering (Taber, #Alberta) finishes off a tasty behind the back dish with a two-hand flush.

🇳🇱… https://t.co/W55hHobUTQ",-1
"Tokyo is the last Olympics to cost a bomb. Here's why
#Tokyo2020
#TokyoOlympics 

https://t.co/rkJ3ZRT2sn",6
"30 minutes played score: Japan 0 - 0 Great Britain, Olympic Women's Tournament Tokyo 2020  #womensfootball #soccer… https://t.co/iC0OXUQ8qp",-1
"The surpassing greatness of God's power is available for you today. Therefore, believe God for the unusual.… https://t.co/9as4qgmPfu",-1
"Sometimes saving a five-pointer feels just as good as scoring one! 💪

#HowWeSevens #Rugby #Tokyo2020 https://t.co/n9ufL4Ubrx",1
"The Thorpedo! 🏊‍♂️
Flashback to the Olympic debut of Australian swimming legend, Ian Thorpe! 🇦🇺🥇

Swimming starts n… https://t.co/7l4SEQKhuG",-1
"#teamBW we are 100% behind you.
#Tokyo2020 
#choppies 
#greatvalueforyourmoney https://t.co/dxhfnp2qOY",15
WATCH: U.S. first lady Jill Biden and several world leaders met Japanese Emperor Naruhito ahead of the #Tokyo2020… https://t.co/NxcawQNdtP,-1
"[LIVE] #Football — Women's | #Tokyo2020 

20:00 — 
#NED vs #BRA",-1
"Takato wins #Japan's first gold medal of the Tokyo Games

#Tokyo2020 #Judo
 
https://t.co/QTQQXLW6Yk",27
ICYMI: Olympic teams from China and South Korea arrived in Japan ahead of #Tokyo2020 https://t.co/N8Pmmg0pfw,1
"#Boxing: Vikas Krishan loses 0-5 to Okazawa of Japan in Round of 32 bout of 69kg event.

#Olympics #Tokyo2020

 https://t.co/rigeoezwIl",4
"Tokyo 2020 officially opened with low-key ceremony
https://t.co/bQCXtr9VvR 🌐

A year later than scheduled,… https://t.co/hi6wvBYZD1",14
"#Tokyo2020 #Olympics 
#TeamIndia 
#Boxing Men's Welterweight Round of 32
Three time Olympian Vikas Krishan lost to… https://t.co/YTj8EaTBTz",4
"#Olympic Breaking!
Mirabai Chanu has made history at the #TokyoOlympic by winning the first medal for team #India i… https://t.co/pAgwVoVjQC",0
"Ready for the quarterfinals ✔️

🇸🇪 4-2 🇦🇺 |#SWEAUS |#Tokyo2020 ￼ https://t.co/uQixRDJ3KP",28
"WHY ??

WHY YANG Yung Wei Lose ??

#Tokyo2020",-1
These ones can swim 🏊‍♀️ #TokyoOlympics #Tokyo2020,11
India strikes first medal at Olympic #Tokyo2020 ! Saikhom Mirabai Chanu wins silver Medal in 49 kg Women's Weightli… https://t.co/mXcbxAsx8d,0
Zuri - Asmara Dior Collection - asmara_dior_collection - Spoonflower https://t.co/YJxfqcIMld via @spoonflower… https://t.co/yfi1BfNyTf,-1
"మగువ ఇది నీ విజయం @mirabai_chanu ❤️ 🇮🇳

First medal for India in #Tokyo2020

#MirabaiChanu Won Silver in Weightlift… https://t.co/5So8j9tgb3",-1
"Cilic vs Menezes, after more than 3 hours and millions of unconverted match points, is one of the worst quality ten… https://t.co/LogXD71anm",-1
"Watching men’s hockey. Commentator is referring to the ‘Great Britain and Northern Ireland team’… umm, I thought GB… https://t.co/0bsPYnTq2D",-1
Nicely done! @c_edrielzxs 🇵🇭 #Tokyo2020 https://t.co/Xt48dCwewu,-1
Team @BelgaNewsAgency is in da house! #Tokyo2020 #Olympics #TeamBelga #TeamBelgium #Bel https://t.co/zWPaTytHkG,-1
